name,sector,sub_sector,priority_tier,lean_fit_score,region,country,hq,website_url,linkedin_company_url,careers_url,crunchbase_url,recommended_functions,rationale,source,source_url,awesomefintech_categories,awesomefintech_rank
Marqeta,FinTech,Payments,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Top 200 #48, Payments #32, Digital Lending #50. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/payments/,Top 200; Payments; Digital Lending,Top 200 #48; Payments #32; Digital Lending #50
Monzo,FinTech,Banking,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Top 200 #37, Banking #23, Neobanks #14. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/banking/,Top 200; Banking; Neobanks,Top 200 #37; Banking #23; Neobanks #14
N26,FinTech,Banking,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Top 200 #24, Banking #14, Neobanks #10. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/banking/,Top 200; Banking; Neobanks,Top 200 #24; Banking #14; Neobanks #10
Onfido,FinTech,RegTech,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: RegTech #24, AI #34. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/regtech/,RegTech; AI,RegTech #24; AI #34
Plaid Technologies,FinTech,Open Banking,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Open Banking #2, Banking #16, Digital Lending #29, WealthTech #4. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/open-banking/,Open Banking; Banking; Digital Lending; WealthTech,Open Banking #2; Banking #16; Digital Lending #29; WealthTech #4
Rapyd,FinTech,Payments,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Top 200 #26, Payments #19. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/payments/,Top 200; Payments,Top 200 #26; Payments #19
Revolut,FinTech,Payments,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Top 200 #8, Payments #10, Banking #6, Neobanks #6. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/payments/,Top 200; Payments; Banking; Neobanks,Top 200 #8; Payments #10; Banking #6; Neobanks #6
Socure,FinTech,RegTech,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: RegTech #26, AI #36. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/regtech/,RegTech; AI,RegTech #26; AI #36
Solarisbank,FinTech,Open Banking,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Open Banking #6, Banking #39. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/open-banking/,Open Banking; Banking,Open Banking #6; Banking #39
Starling Bank,FinTech,Banking,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Top 200 #19, Banking #12, Neobanks #9. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/banking/,Top 200; Banking; Neobanks,Top 200 #19; Banking #12; Neobanks #9
Stripe,FinTech,Payments,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Top 200 #4, Payments #7. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/payments/,Top 200; Payments,Top 200 #4; Payments #7
Tarabut Gateway,FinTech,Open Banking,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Open Banking #41. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/open-banking/,Open Banking,Open Banking #41
Thought Machine,FinTech,Open Banking,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Open Banking #13. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/open-banking/,Open Banking,Open Banking #13
Tink,FinTech,Open Banking,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Open Banking #7. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/open-banking/,Open Banking,Open Banking #7
Token,FinTech,Open Banking,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Open Banking #26. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/open-banking/,Open Banking,Open Banking #26
TrueLayer,FinTech,Open Banking,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Open Banking #14, RegTech #34. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/open-banking/,Open Banking; RegTech,Open Banking #14; RegTech #34
Trulioo,FinTech,Banking,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Banking #32, RegTech #3. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/banking/,Banking; RegTech,Banking #32; RegTech #3
Unit,FinTech,Open Banking,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Open Banking #19. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/open-banking/,Open Banking,Open Banking #19
Wise,FinTech,Payments,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Top 200 #33, Payments #25, Banking #19, Neobanks #11. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/payments/,Top 200; Payments; Banking; Neobanks,Top 200 #33; Payments #25; Banking #19; Neobanks #11
Yapily,FinTech,Open Banking,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Open Banking #18. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/open-banking/,Open Banking,Open Banking #18
4Paradigm,FinTech,RegTech,Tier 2,8,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: RegTech #2, AI #6. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/regtech/,RegTech; AI,RegTech #2; AI #6
ADVANCE.AI,FinTech,RegTech,Tier 2,8,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: RegTech #36. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/regtech/,RegTech,RegTech #36
Acorns,FinTech,Neobanks,Tier 2,8,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Neobanks #32, WealthTech #39. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/challenger-banks/,Neobanks; WealthTech,Neobanks #32; WealthTech #39
Addepar,FinTech,WealthTech,Tier 2,7,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Top 200 #50, WealthTech #15. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/wealth-tech/,Top 200; WealthTech,Top 200 #50; WealthTech #15
Affirm,FinTech,Payments,Tier 1,9,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Top 200 #7, Payments #9, Digital Lending #9, AI #1. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/payments/,Top 200; Payments; Digital Lending; AI,Top 200 #7; Payments #9; Digital Lending #9; AI #1
AiDEXA,FinTech,Open Banking,Tier 1,9,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Open Banking #21. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/open-banking/,Open Banking,Open Banking #21
Albert,FinTech,Neobanks,Tier 2,8,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Neobanks #47. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/challenger-banks/,Neobanks,Neobanks #47
Alight Solutions,FinTech,WealthTech,Tier 2,7,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: WealthTech #38. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/wealth-tech/,WealthTech,WealthTech #38
Alkami Technology,FinTech,Banking,Tier 2,8,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Banking #50. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/banking/,Banking,Banking #50
Amount,FinTech,Open Banking,Tier 1,9,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Open Banking #10. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/open-banking/,Open Banking,Open Banking #10
Ant Group,FinTech,Payments,Tier 1,9,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Payments #1. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/payments/,Payments,Payments #1
AppZen,FinTech,RegTech,Tier 2,8,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: RegTech #47. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/regtech/,RegTech,RegTech #47
Applied Data Finance,FinTech,AI,Tier 2,7,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: AI #24. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/artificial-intelligence/,AI,AI #24
Aspiration,FinTech,Neobanks,Tier 2,8,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Neobanks #41, WealthTech #48. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/challenger-banks/,Neobanks; WealthTech,Neobanks #41; WealthTech #48
At-Bay,FinTech,RegTech,Tier 2,8,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: RegTech #14. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/regtech/,RegTech,RegTech #14
Athena Mortgage,FinTech,Digital Lending,Tier 2,7,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Digital Lending #8. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/digital-lending/,Digital Lending,Digital Lending #8
Atom Bank,FinTech,Banking,Tier 2,8,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Top 200 #36, Banking #21, Neobanks #13. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/banking/,Top 200; Banking; Neobanks,Top 200 #36; Banking #21; Neobanks #13
Atomic,FinTech,Open Banking,Tier 1,9,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Open Banking #42. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/open-banking/,Open Banking,Open Banking #42
Automation Anywhere,FinTech,Banking,Tier 2,8,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Banking #13, AI #7. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/banking/,Banking; AI,Banking #13; AI #7
Avalara,FinTech,RegTech,Tier 2,8,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: RegTech #15. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/regtech/,RegTech,RegTech #15
Avaloq Group,FinTech,WealthTech,Tier 2,7,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: WealthTech #33. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/wealth-tech/,WealthTech,WealthTech #33
Avant,FinTech,Banking,Tier 2,8,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Banking #5, Digital Lending #11, AI #2. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/banking/,Banking; Digital Lending; AI,Banking #5; Digital Lending #11; AI #2
AvidXchange,FinTech,Payments,Tier 1,9,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Top 200 #14, Payments #13. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/payments/,Top 200; Payments,Top 200 #14; Payments #13
Ayasdi,FinTech,RegTech,Tier 2,8,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: RegTech #50. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/regtech/,RegTech,RegTech #50
Ayoconnect,FinTech,Open Banking,Tier 1,9,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Open Banking #47. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/open-banking/,Open Banking,Open Banking #47
Behavox,FinTech,RegTech,Tier 2,8,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: RegTech #39. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/regtech/,RegTech,RegTech #39
Bestow,FinTech,AI,Tier 2,7,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: AI #50. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/artificial-intelligence/,AI,AI #50
Better.com,FinTech,Digital Lending,Tier 2,7,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Top 200 #20, Digital Lending #26. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/digital-lending/,Top 200; Digital Lending,Top 200 #20; Digital Lending #26
Betterment,FinTech,Neobanks,Tier 2,8,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Neobanks #31, WealthTech #37. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/challenger-banks/,Neobanks; WealthTech,Neobanks #31; WealthTech #37
BharatPe,FinTech,Payments,Tier 1,9,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Top 200 #31, Payments #23, Banking #17. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/payments/,Top 200; Payments; Banking,Top 200 #31; Payments #23; Banking #17
BioCatch,FinTech,RegTech,Tier 2,8,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: RegTech #23, AI #33. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/regtech/,RegTech; AI,RegTech #23; AI #33
Bitpanda,FinTech,WealthTech,Tier 2,7,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: WealthTech #18. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/wealth-tech/,WealthTech,WealthTech #18
Blend,FinTech,Banking,Tier 2,8,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Top 200 #32, Banking #18, Digital Lending #32. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/banking/,Top 200; Banking; Digital Lending,Top 200 #32; Banking #18; Digital Lending #32
BlockFi,FinTech,WealthTech,Tier 2,7,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: WealthTech #16. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/wealth-tech/,WealthTech,WealthTech #16
BlueVine,FinTech,Banking,Tier 2,8,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Top 200 #27, Banking #15, Digital Lending #28. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/banking/,Top 200; Banking; Digital Lending,Top 200 #27; Banking #15; Digital Lending #28
Bond Financial Technologies,FinTech,Open Banking,Tier 1,9,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Open Banking #27. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/open-banking/,Open Banking,Open Banking #27
Branch,FinTech,Banking,Tier 2,8,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Banking #27, Neobanks #17, WealthTech #9. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/banking/,Banking; Neobanks; WealthTech,Banking #27; Neobanks #17; WealthTech #9
Brex,FinTech,Payments,Tier 1,9,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Top 200 #13, Payments #12, Banking #8, Digital Lending #19. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/payments/,Top 200; Payments; Banking; Digital Lending; Neobanks,Top 200 #13; Payments #12; Banking #8; Digital Lending #19; Neobanks #8
Bright HealthCare,FinTech,Top 200,Tier 3,6,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Top 200 #10. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/top/200/,Top 200,Top 200 #10
Bud Financial,FinTech,Open Banking,Tier 1,9,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Open Banking #33. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/open-banking/,Open Banking,Open Banking #33
BusinessBigData,FinTech,RegTech,Tier 2,8,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: RegTech #49. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/regtech/,RegTech,RegTech #49
C6 Bank,FinTech,Banking,Tier 2,8,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Banking #3, Neobanks #4. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/banking/,Banking; Neobanks,Banking #3; Neobanks #4
CAN Capital,FinTech,Digital Lending,Tier 2,7,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Digital Lending #21. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/digital-lending/,Digital Lending,Digital Lending #21
CRED,FinTech,Payments,Tier 1,9,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Payments #42, Banking #35, Neobanks #20. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/payments/,Payments; Banking; Neobanks,Payments #42; Banking #35; Neobanks #20
Canopy Tax,FinTech,RegTech,Tier 2,8,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: RegTech #42. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/regtech/,RegTech,RegTech #42
Capital on Tap,FinTech,Neobanks,Tier 2,8,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Neobanks #28. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/challenger-banks/,Neobanks,Neobanks #28
Cedar,FinTech,AI,Tier 2,7,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: AI #18. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/artificial-intelligence/,AI,AI #18
Chainalysis,FinTech,Banking,Tier 2,8,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Banking #46, RegTech #7. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/banking/,Banking; RegTech,Banking #46; RegTech #7
Chime,FinTech,Banking,Tier 2,8,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Top 200 #6, Banking #4, Neobanks #5. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/banking/,Top 200; Banking; Neobanks,Top 200 #6; Banking #4; Neobanks #5
