name,sector,sub_sector,priority_tier,lean_fit_score,region,country,hq,employees,website_url,linkedin_company_url,careers_url,recommended_functions,rationale,source,source_url,source_profile_url,awesomefintech_categories,awesomefintech_rank,data_sources
BLOCKCHAIN,FinTech,AI,Tier 2,7,Europe,Luxembourg,Luxembourg,21 to 50,,https://www.linkedin.com/search/results/companies/?keywords=BLOCKCHAIN,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Blockchain is an online platform that makes using bitcoin safe, easy, and secure for consumers and businesses worldwide.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/blockchain,,,FinTech Weekly directory
BSAVE,FinTech,AI,Tier 2,7,Europe,UK,London,1 to 10,,https://www.linkedin.com/search/results/companies/?keywords=BSAVE,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",BSAVE is a service that allows bitcoin savers to immediately profit from their dormant bitcoins.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/bsave,,,FinTech Weekly directory
BTCX,FinTech,AI,Tier 2,7,Europe,Sweden,Stockholm,1 to 10,,https://www.linkedin.com/search/results/companies/?keywords=BTCX,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",BTCX is a blockchain service provider that allows exchange and management of virtual currencies.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/btcx,,,FinTech Weekly directory
Backfeed,FinTech,AI,Tier 2,7,MENA,Israel,,,,https://www.linkedin.com/search/results/companies/?keywords=Backfeed,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Backfeed develops the foundational tools that work on top of blockchain technology to empower decentralized collaborations. It provides the protocols that make it possible for any disparate group of individuals to easily deploy decentralized applications based on spontaneous, large-scale, and free collaboration. Backfeed protocols enable people to coordinate themselves through a decentralized governance model that distributes token rewards and reputation to all collaborators based on the perceived value of their contributions. The protocols are designed to encourage the internal alignment of individuals within a given community, while also promoting diversity at the margins.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/backfeed,,,FinTech Weekly directory
Becopia,FinTech,AI,Tier 2,7,MENA,Israel,,,,https://www.linkedin.com/search/results/companies/?keywords=Becopia,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",Becopia is the developer of a new pricing strategy that allows businesses to give sustainable discounts to their customers yet still receive full price for their products and services. Becopia’s platform matches complementary online businesses with similar target audiences and builds a mutual campaign for them in order to create more value for all businesses involved.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/becopia,,,FinTech Weekly directory
Bestow,FinTech,AI,Tier 2,7,Global,,,,,https://www.linkedin.com/search/results/companies/?keywords=Bestow,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: AI #50. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/artificial-intelligence/,,AI,AI #50,AwesomeFinTech public directory
BitMint,FinTech,AI,Tier 2,7,MENA,Israel,,,,https://www.linkedin.com/search/results/companies/?keywords=BitMint,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","BitMint is a non-speculative centralized digital currency anchored by an underlying commodity such as the US dollar or gold. It is built on the premise that neither of the erosive ciphers that underlie Bitcoin and its imitators is sufficiently robust to support a prevailing universal digital form of money. Therefore, BitMint is based on equivocation rather than ECC, RSA, or any other ""private key""-""public key"" combination.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/bitmint,,,FinTech Weekly directory
Bitrated,FinTech,AI,Tier 2,7,MENA,Israel,,,,https://www.linkedin.com/search/results/companies/?keywords=Bitrated,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Bitrated is a platform designed to help online consumers and merchants protect themselves against online fraud with multi-signature transactions. The company’s goal is to make arbitration an open marketplace in which arbitrators can innovate and find new and creative ways to resolve disputes and be judged on the quality of their work and their reputation. By opening the arbitration market to new players, the company strives to bring better solutions to consumers and merchants, enabling them to conduct transactions safely over the internet, even anonymously. Bitrated users can choose domain-specific arbitrators with knowledge in specific fields, allowing them to make better and more informed decisions.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/bitrated,,,FinTech Weekly directory
Boom,FinTech,AI,Tier 2,7,Global,US,Centennial,11-50,,https://www.linkedin.com/search/results/companies/?keywords=Boom,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",Supersonic passenger airplanes you can afford to fly.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/boom,,,FinTech Weekly directory
CAPCITO,FinTech,AI,Tier 2,7,Europe,Sweden,Stockholm,1 to 10,,https://www.linkedin.com/search/results/companies/?keywords=CAPCITO,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Capcitos aims at helping companies with financing when needed, to allow them to focus their time and energy on developing their business.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/capcito,,,FinTech Weekly directory
CHROMAWAY,FinTech,AI,Tier 1,10,Europe,Sweden,Stockholm,1 to 10,,https://www.linkedin.com/search/results/companies/?keywords=CHROMAWAY,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",ChromaWay is a blockchain 2.0 technology company that provides a platform for smart contracts and issuing and transferring assets through a blockchain.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/chromaway,,,FinTech Weekly directory
CLEARMATICS,FinTech,AI,Tier 2,7,Europe,UK,London,1 to 10,,https://www.linkedin.com/search/results/companies/?keywords=CLEARMATICS,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",Clearmatics is a blockchain platform where members can settle securities and automate any post-trade processes using a secured decentralised virtual machine.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/clearmatics,,,FinTech Weekly directory
CLEVERCOIN,FinTech,AI,Tier 2,7,Europe,Netherlands,Eindhoven,1 to 10,,https://www.linkedin.com/search/results/companies/?keywords=CLEVERCOIN,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Clevercoin is the first Dutch bitcoin exchange that provides an exchange which makes it possible to trade bitcoins in an easy, fast and secure way.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/clevercoin,,,FinTech Weekly directory
CONSUMATRIX,FinTech,AI,Tier 2,7,Europe,Netherlands,Apeldoorn,1 to 10,,https://www.linkedin.com/search/results/companies/?keywords=CONSUMATRIX,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",Consumatrix is a provider of financial consumer data and predicting models that transforms data into vivid audience portraits.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/consumatrix,,,FinTech Weekly directory
CRV,FinTech,AI,Tier 2,7,Global,US,Boston,1-10,,https://www.linkedin.com/search/results/companies/?keywords=CRV,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",Our purpose is to find and support extraordinary founders aiming to change the world,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/crv,,,FinTech Weekly directory
Causes,FinTech,AI,Tier 2,7,Global,US,San Francisco,51-200,,https://www.linkedin.com/search/results/companies/?keywords=Causes,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",Discover and organize campaigns around the issues that impact you and your community,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/causes,,,FinTech Weekly directory
Cedar,FinTech,AI,Tier 2,7,Global,,,,,https://www.linkedin.com/search/results/companies/?keywords=Cedar,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: AI #18. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/artificial-intelligence/,,AI,AI #18,AwesomeFinTech public directory
Chainlab Financial Solutions,FinTech,AI,Tier 2,7,MENA,Israel,,,,https://www.linkedin.com/search/results/companies/?keywords=Chainlab+Financial+Solutions,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","ChainLab uses blockchain technology to create scalable, independent, corruption-free solutions. ChainLab's first product will be Wings, which aims to be the first decentralized autonomous organization (DAO) platform that provides a full, easy-to-use ecosystem to create and manage DAOs.  ChainLab aspires to remove the technological barriers that exist between blockchain solutions and the masses.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/chainlab-financial-solutions,,,FinTech Weekly directory
Circle Medical,FinTech,AI,Tier 2,7,Global,US,San Francisco,1-10,,https://www.linkedin.com/search/results/companies/?keywords=Circle+Medical,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","The doctor's office that comes to you, paid by your insurance (YC S15)",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/circle-medical,,,FinTech Weekly directory
ClaimVantage,FinTech,AI,Tier 2,7,Global,US,"Portland, ME & Dublin, Ireland",33,,https://www.linkedin.com/search/results/companies/?keywords=ClaimVantage,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","ClaimVantage provides automated, cloud-based Life, Health and Absence claim management software solutions to insurance carriers, employers and TPAs.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/claimvantage,,,FinTech Weekly directory
Cleo AI,FinTech,AI,Tier 2,7,Europe,UK,London,30-100,,https://www.linkedin.com/search/results/companies/?keywords=Cleo+AI,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",Cleo is an artificial intelligence startup that offers an intelligent assistant to help users in managing their finances.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/cleo-ai,,,FinTech Weekly directory
CloseCross,FinTech,AI,Tier 2,7,Europe,Switzerland,Zug,10 - 15,,https://www.linkedin.com/search/results/companies/?keywords=CloseCross,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","CloseCross is a decentralised prediction market platform that leverages patented blockchain technology to allow users to engage in multi-party trades on a range of financial benchmarks and events. CloseCross drives collective and democratic participation by significantly reducing the cost and complexities associated with traditional financial markets, and by allowing users to view the predictions that others are making in real-time.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/closecross,,,FinTech Weekly directory
ClusterSeven,FinTech,AI,Tier 2,7,Europe,United Kingdom,"London, New York",,,https://www.linkedin.com/search/results/companies/?keywords=ClusterSeven,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","ClusterSeven has developed a range of market-leading software products that provide oversight and transparency of a firm’s spreadsheets, user-built databases and modelling tools. Solutions provide departments such as finance, regulatory reporting, stress testing, operations and internal audit full confidence in the integrity of their firm’s spreadsheet data, while also offering substantial savings on the time and resources used to check data processes and accuracy. Our platform allows you to assess and classify spreadsheet risk, increase the accountability and transparency of spreadsheet-dependent processes, and give you certainty about what’s happening at every step.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/clusterseven,,,FinTech Weekly directory
CoinCooler,FinTech,AI,Tier 2,7,MENA,Israel,,,,https://www.linkedin.com/search/results/companies/?keywords=CoinCooler,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","CoinCooler is a kit that helps users create, encrypt, and inspect digital files listing cold-storage Bitcoin addresses in a secure and easy way. It runs on a dedicated RaspberryPi that is always kept offline. Digital files containing the list of Bitcoin addresses and their associated private keys are generated, strongly encrypted, and then downloaded to USB memory sticks. Advanced features allow users to mitigate some of the risks associated with password loss, as well as a way to bequeath bitcoins to heirs. CoinCooler also can be used to securely inspect the content of cold storage files so users can glean the private key when they decide to retrieve funds from any of the cold storage addresses.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/coincooler,,,FinTech Weekly directory
Configo,FinTech,AI,Tier 2,7,MENA,Israel,,,,https://www.linkedin.com/search/results/companies/?keywords=Configo,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Configo regulates enterprises' mobile applications by means of an umbrella platform. It prevents bad user experience while creating a safe, straightforward environment for managing releases, beta testing, and personalization of new features. The company enables mobile-focused teams to release new features in a controlled manner. They can test, measure, fine tune, and even disable features in production and in real time without re-submitting the app.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/configo,,,FinTech Weekly directory
Conflicteam,FinTech,AI,Tier 2,7,MENA,Israel,,,,https://www.linkedin.com/search/results/companies/?keywords=Conflicteam,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Conflicteam, developed by Dudil Ltd, lets two parties who are entangled in a financial dispute or some other type of financial conflict resolve it online without intervention from another person or entity. Conflicteam's quick-resolution, algorithm-based mechanism evaluates the compromise proposals submitted by the two sides and, if they are compatible, produces the price of the compromise, based on the proposals. If they are not, the system informs the parties that the proposal failed and gives them another chance. If after five attempts the parties are unable to reach agreement, the system automatically suggests a compromise using its unique ability to interpret the “wisdom of the crowd,” to examine the proposals and provide the optimal compromise proposal. If this is not accepted, the process repeats for 30 days after which the file is closed if no compromise is reached.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/conflicteam,,,FinTech Weekly directory
Crayon Data,FinTech,AI,Tier 2,7,APAC,singapore,"singapore, India",200,,https://www.linkedin.com/search/results/companies/?keywords=Crayon+Data,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Crayon Data is a young, fast-growing AI and Big Data company invented maya.ai - a personalization engine dedicated to understand human tastes.  As the flagship product of the Singapore-based Crayon Data, the engine helps fintech companies bridge the gap in understanding between enterprises and the tastes of their customers.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/crayon-data,,,FinTech Weekly directory
CryptoRunner,FinTech,AI,Tier 2,7,Europe,Sweden,Stockholm,1-5,,https://www.linkedin.com/search/results/companies/?keywords=CryptoRunner,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",Leading cryptocurrency comparison site. Helping you make the best decision to save & make money.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/cryptorunner,,,FinTech Weekly directory
Cybewrite,FinTech,AI,Tier 2,7,MENA,Israel,,,,https://www.linkedin.com/search/results/companies/?keywords=Cybewrite,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",Cybewrite provides  a cyber insurance managment platform that reduces cyber insurance risk uncertainty. The Cybewrite platform is designed to bridge the gap between the needs of the underwriter and the cyber-security world. It supports insurers throughout the cyber insurance life-cycle management process. ​,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/cybewrite,,,FinTech Weekly directory
D-Wave Systems,FinTech,AI,Tier 2,7,Global,,,,,https://www.linkedin.com/search/results/companies/?keywords=D-Wave+Systems,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: AI #25. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/artificial-intelligence/,,AI,AI #25,AwesomeFinTech public directory
DEALMARKET,FinTech,AI,Tier 2,7,Europe,Switzerland,Zurich,11 to 20,,https://www.linkedin.com/search/results/companies/?keywords=DEALMARKET,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",DealMarket is a comprehensive platform for fundraising and deal flow management.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/dealmarket,,,FinTech Weekly directory
DIGITAL SHADOWS,FinTech,AI,Tier 2,7,Europe,UK,London,21 to 50,,https://www.linkedin.com/search/results/companies/?keywords=DIGITAL+SHADOWS,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Digital Shadows provides cyber situational awareness to help businesses protect against cyber-attacks, loss of intellectual property, and loss of brand & reputational integrity.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/digital-shadows,,,FinTech Weekly directory
Dataminr,FinTech,AI,Tier 2,7,Global,,,,,https://www.linkedin.com/search/results/companies/?keywords=Dataminr,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: AI #5. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/artificial-intelligence/,,AI,AI #5,AwesomeFinTech public directory
Digixhub,FinTech,AI,Tier 2,7,APAC,India,"Bengaluru, ubai",50,,https://www.linkedin.com/search/results/companies/?keywords=Digixhub,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",Digixhub is a blockchain development company that provides blockchain services and products.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/digixhub,,,FinTech Weekly directory
ELEFUNDS,FinTech,AI,Tier 2,7,Europe,Germany,Berlin,1 to 10,,https://www.linkedin.com/search/results/companies/?keywords=ELEFUNDS,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",Elefunds is a social impact enterprise that revolutionises the way consumers raise funds digitally by providing uniquely fundraising as a service.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/elefunds,,,FinTech Weekly directory
ELLIPTIC,FinTech,AI,Tier 2,7,Europe,UK,London,11 to 20,,https://www.linkedin.com/search/results/companies/?keywords=ELLIPTIC,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",Elliptic is a technology company that identifies illicit activity on the bitcoin blockchain & provides their intelligence to the leading bitcoin companies and law enforcement agencies globally.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/elliptic,,,FinTech Weekly directory
EQUIDAM,FinTech,AI,Tier 2,7,Europe,Netherlands,Rotterdam,1 to 10,,https://www.linkedin.com/search/results/companies/?keywords=EQUIDAM,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",Equidam is a data-enabled technology that helps entrepreneurs as well as professionals to objectively estimate the fair market value of small businesses.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/equidam,,,FinTech Weekly directory
ETNETWORK,FinTech,AI,Tier 2,7,Europe,Sweden,Stockholm,1 to 10,,https://www.linkedin.com/search/results/companies/?keywords=ETNETWORK,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",ETNetwork provides an infrastructure for digital receipts that improve daily administration for small and large corporations.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/etnetwork,,,FinTech Weekly directory
EVERLEDGER,FinTech,AI,Tier 2,7,Europe,UK,London,1 to 10,,https://www.linkedin.com/search/results/companies/?keywords=EVERLEDGER,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Everledger provides immutable ledger for diamond identification and related transaction history verification from insurance companies, to claimants and law enforcement agencies.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/everledger,,,FinTech Weekly directory
EZcount - Online Invoice,FinTech,AI,Tier 2,7,MENA,Israel,,,,https://www.linkedin.com/search/results/companies/?keywords=EZcount+-+Online+Invoice,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","EZcount Ltd is online invoicing software intended for small and medium businesses, providing a technological solution for managing business income and accounting documents. EZcount issues online invoices, proposals, and accounting-related documents such as purchase orders, work orders, and delivery receipts. The documents are digitally signed and emailed directly to the customer. The system saves and backs up items so that they can be recalled with a click.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/ezcount-online-invoice,,,FinTech Weekly directory
ElectrifAi,FinTech,AI,Tier 2,7,Global,,,,,https://www.linkedin.com/search/results/companies/?keywords=ElectrifAi,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: AI #39. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/artificial-intelligence/,,AI,AI #39,AwesomeFinTech public directory
Equatel,FinTech,AI,Tier 2,7,MENA,Israel,,,,https://www.linkedin.com/search/results/companies/?keywords=Equatel,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Equatel is dedicated to addressing the fact that four billion people across the world have no access to telephony or the internet. The UK-based company has offices throughout Africa, enabling voice, data, VAS, mobile-money, and internet solutions to the underserved, rural communities that need them the most. Equatel’s products are affordable, robust, easy to use and implement, and represent the latest technology. Equatel partners with leading technology companies all over the world to develop products with proven quality and integrity. The company also seeks to partner with regional system integrators in addition to supporting organizations with the ability to deploy, maintain, and resell its solutions. Equatel provides its customers with support installations as well as advice for the implementation of their projects. Many of Equatel’s customers’ projects are jointly funded between tele",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/equatel,,,FinTech Weekly directory
EquityX,FinTech,AI,Tier 2,7,MENA,Israel,,,,https://www.linkedin.com/search/results/companies/?keywords=EquityX,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","EquityX is a marketplace where high-quality start-ups and service providers can find each other and collaborate using equity as currency. The system is designed to be straightforward and fair to all parties involved, and is based on work EquityX has done with top lawyers and accountants. When the start-up raises a substantial funding round, the service provider receives the amount earned, with appreciation based on time elapsed, in the same security as that round.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/equityx,,,FinTech Weekly directory
FAIRZEKERING,FinTech,AI,Tier 2,7,Europe,Netherlands,Delft,1 to 10,,https://www.linkedin.com/search/results/companies/?keywords=FAIRZEKERING,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",Fairzekering is a car insurance provider that allows its users to calculate how much they can save each month on their car insurance.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/fairzekering,,,FinTech Weekly directory
FINDITY AB,FinTech,AI,Tier 2,7,Europe,Sweden,Stockholm,1 to 10,,https://www.linkedin.com/search/results/companies/?keywords=FINDITY+AB,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",Findity is passionate about simplifying and improving the h&ling of digital receipts for both retailers & consumers.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/findity-ab,,,FinTech Weekly directory
